ID,Name,Category,Pictures,Price,Featured,Status,Updated,ImageLinks,DescriptionSummary
001,001 Sold Spectacular Irish Table from Circa 1870 - Killarneyware - Ireland Antique,Memorable Irish Antiques,8 x,"€23,500.00",No,2,30/05/2025,"['https://file.4pm.ie/843/127d2a64.jpg', 'https://file.4pm.ie/843/3a4f8333.jpg', 'https://file.4pm.ie/843/117b8243.jpg', 'https://file.4pm.ie/843/6ffb44f.jpg', 'https://file.4pm.ie/843/3295a2b0.jpg', 'https://file.4pm.ie/843/f678fd5c.jpg', 'https://file.4pm.ie/843/71118e80.jpg', 'https://file.4pm.ie/843/569adb27.jpg']","Height: 28.5 (72.5cm), Width: 59 (150cm), Depth: 43.5 (110cm); Materials: Arbutus, Yew wood; Provenance: made in Co Kerry Ireland in the late ; Features: Inlaid decoration, Crossed Ferns motif, Original condition, Provenance available, Rare piece; State: Restored/Cleaned"
002,002 Sold George Goodwin Kilburne (1839-1924) - The Long Ride - Oil on Board,Recently Sold,5 x,"€2,250.00",No,2,10/05/2019,"['https://file.4pm.ie/625/48be47d7.jpg', 'https://file.4pm.ie/625/b16d45eb.jpg', 'https://file.4pm.ie/625/e25952d7.jpg', 'https://file.4pm.ie/625/519dd3ad.jpg', 'https://file.4pm.ie/625/bdee54e4.jpg']","Height: 13.5 (34.5cm), Width: 16.5 (42cm)"
003,003 Paolo Buffa Dining Table and Chairs - Italian - Rosewood Circa 1950,Furniture,6 x,"€4,950.00",No,1,07/05/2024,"['https://file.4pm.ie/941/5ab2fe86.jpg', 'https://file.4pm.ie/941/95062e5a.jpg', 'https://file.4pm.ie/941/d88b562d.jpg', 'https://file.4pm.ie/941/5ee08e6.jpg', 'https://file.4pm.ie/941/a548e465.jpg', 'https://file.4pm.ie/941/40295b3c.jpg']","Width: 43 (110cm), Height: 30.6 (78cm)"
004,004 Bronze Bust - Alexandrie - Classical Elegance,Ormolu and Bronze Collection Dublin Ireland Antiques,2 x,€945.00,No,1,21/07/2018,"['https://file.4pm.ie/831/7533d164.jpg', 'https://file.4pm.ie/831/acfeaa1b.jpg']","Height: 23.5 (60cm), Width: 13.75 (35cm); Materials: Bronze"
005,005 Julian Friers - Falcon - Oil on Board,Paintings and Engravings - Antique Shop Ireland,7 x,"€4,950.00",No,1,04/08/2021,"['https://file.4pm.ie/913/134010b4.jpg', 'https://file.4pm.ie/913/5cf4b051.jpg', 'https://file.4pm.ie/913/4dc2c520.jpg', 'https://file.4pm.ie/913/78b46a04.jpg', 'https://file.4pm.ie/913/11328e51.jpg', 'https://file.4pm.ie/913/9da3fe9b.jpg', 'https://file.4pm.ie/913/da8a50f5.jpg']","Height: 14 (35cm), Width: 9.8 (25cm), Height: 26 (66cm), Width: 21 (53.5cm); Provenance: Ireland"
006,006 Sold Georgian Tea Caddy - English - Circa 1780 - Mahogany and Inlaid,Recently Sold,5 x,€545.00,No,2,01/12/2020,"['https://file.4pm.ie/894/88b2c1e1.jpg', 'https://file.4pm.ie/894/5cfb8949.jpg', 'https://file.4pm.ie/894/eb293ccb.jpg', 'https://file.4pm.ie/894/f096dce1.jpg', 'https://file.4pm.ie/894/1c6b2533.jpg']","Height: 4.5 (11.5cm), Depth: 3.5 (9cm), Width: 6 (15cm); Materials: Ebony, Ivory, Mahogany; Features: Inlaid decoration, Rare piece"
007,007 Sold On The Riverbank Wales - James E Grace - Oil on Canvas,Recently Sold,4 x,"€1,790.00",No,2,20/09/2024,"['https://file.4pm.ie/934/91fe3182.jpg', 'https://file.4pm.ie/934/996954d3.jpg', 'https://file.4pm.ie/934/24d2a01b.jpg', 'https://file.4pm.ie/934/9a505166.jpg']","Width: 55 (139.5cm), Height: 35 (89cm), Width: 49 (124cm), Height: 29 (74cm)"
008,008 Sold Red Rum 'Over the Last' Oil on Panel Steve Burgess (Born 1960),Recently Sold,5 x,"€2,950.00",No,2,18/10/2024,"['https://file.4pm.ie/933/83664a95.jpg', 'https://file.4pm.ie/933/79e181ca.jpg', 'https://file.4pm.ie/933/45b9515c.jpg', 'https://file.4pm.ie/933/b067ce29.jpg', 'https://file.4pm.ie/933/dd4f7e7e.jpg']","Height: 15.7 (40cm), Width: 11.8 (30cm)"
009,009 Satinwood Mahogany Secretaire Bookcase Chest Drawers Gillows Lancaster Georgian,Fine Furniture - Antiques from Dublin Ireland,4 x,"€16,000.00",No,1,25/10/2022,"['https://file.4pm.ie/925/abf0dcb2.jpg', 'https://file.4pm.ie/925/a7a2d96b.jpg', 'https://file.4pm.ie/925/42f00396.jpg', 'https://file.4pm.ie/925/22fb0546.jpg']","Width: 37 (94cm); Provenance: Provenance: Aristocratic Private collection Northern Ireland. The Gillow family of Cabinet Makers and Upholsters came to prominence with Richard Gillow ; Features: Inlaid decoration, Provenance available"
010,010 Sold The Four Courts Dublin - Oil on Board - Colin Gibson,Recently Sold,3 x,€790.00,No,2,21/06/2024,"['https://file.4pm.ie/935/e799b40a.jpg', 'https://file.4pm.ie/935/a004849.jpg', 'https://file.4pm.ie/935/6afb3246.jpg']","Width: 16 (41cm), Height: 12 (30.5cm)"
