ID,Name,Category,Quantity,Price,Featured,Store,Date,Images,Description
001,Sold Spectacular Irish Table from Circa 1870 - Killarneyware - Ireland Antique,Memorable Irish Antiques,8 x,"€23,500.00",No,2,30/05/2025,"[https://file.4pm.ie/843/127d2a64.jpg, https://file.4pm.ie/843/3a4f8333.jpg, https://file.4pm.ie/843/117b8243.jpg, https://file.4pm.ie/843/6ffb44f.jpg, https://file.4pm.ie/843/3295a2b0.jpg, https://file.4pm.ie/843/f678fd5c.jpg, https://file.4pm.ie/843/71118e80.jpg, https://file.4pm.ie/843/569adb27.jpg]","Height: 28.5 (72.5cm), Width: 59 (150cm), Depth: 43.5 (110cm); Materials: Arbutus, Yew wood; Provenance: made in Co Kerry Ireland in the late ; Features: Inlaid decoration, Crossed Ferns motif, Original condition, Provenance available, Rare piece; State: Restored/Cleaned"
002,Sold George Goodwin Kilburne (1839-1924) - The Long Ride - Oil on Board,Recently Sold,5 x,"€2,250.00",No,2,10/05/2019,"[https://file.4pm.ie/625/48be47d7.jpg, https://file.4pm.ie/625/b16d45eb.jpg, https://file.4pm.ie/625/e25952d7.jpg, https://file.4pm.ie/625/519dd3ad.jpg, https://file.4pm.ie/625/bdee54e4.jpg]","Height: 13.5 (34.5cm), Width: 16.5 (42cm)"
003,Paolo Buffa Dining Table and Chairs - Italian - Rosewood Circa 1950,Furniture,6 x,"€4,950.00",No,1,07/05/2024,"[https://file.4pm.ie/941/5ab2fe86.jpg, https://file.4pm.ie/941/95062e5a.jpg, https://file.4pm.ie/941/d88b562d.jpg, https://file.4pm.ie/941/5ee08e6.jpg, https://file.4pm.ie/941/a548e465.jpg, https://file.4pm.ie/941/40295b3c.jpg]","Width: 43 (110cm), Height: 30.6 (78cm)"
004,Bronze Bust - Alexandrie - Classical Elegance,Ormolu and Bronze Collection Dublin Ireland Antiques,2 x,€945.00,No,1,21/07/2018,"[https://file.4pm.ie/831/7533d164.jpg, https://file.4pm.ie/831/acfeaa1b.jpg]","Height: 23.5 (60cm), Width: 13.75 (35cm); Materials: Bronze"
005,Julian Friers - Falcon - Oil on Board,Paintings and Engravings - Antique Shop Ireland,7 x,"€4,950.00",No,1,04/08/2021,"[https://file.4pm.ie/913/134010b4.jpg, https://file.4pm.ie/913/5cf4b051.jpg, https://file.4pm.ie/913/4dc2c520.jpg, https://file.4pm.ie/913/78b46a04.jpg, https://file.4pm.ie/913/11328e51.jpg, https://file.4pm.ie/913/9da3fe9b.jpg, https://file.4pm.ie/913/da8a50f5.jpg]","Height: 14 (35cm), Width: 9.8 (25cm), Height: 26 (66cm), Width: 21 (53.5cm); Provenance: Ireland"
006,Sold Georgian Tea Caddy - English - Circa 1780 - Mahogany and Inlaid,Recently Sold,5 x,€545.00,No,2,01/12/2020,"[https://file.4pm.ie/894/88b2c1e1.jpg, https://file.4pm.ie/894/5cfb8949.jpg, https://file.4pm.ie/894/eb293ccb.jpg, https://file.4pm.ie/894/f096dce1.jpg, https://file.4pm.ie/894/1c6b2533.jpg]","Height: 4.5 (11.5cm), Depth: 3.5 (9cm), Width: 6 (15cm); Materials: Ebony, Ivory, Mahogany; Features: Inlaid decoration, Rare piece"
007,Sold On The Riverbank Wales - James E Grace - Oil on Canvas,Recently Sold,4 x,"€1,790.00",No,2,20/09/2024,"[https://file.4pm.ie/934/91fe3182.jpg, https://file.4pm.ie/934/996954d3.jpg, https://file.4pm.ie/934/24d2a01b.jpg, https://file.4pm.ie/934/9a505166.jpg]","Width: 55 (139.5cm), Height: 35 (89cm), Width: 49 (124cm), Height: 29 (74cm)"
008,Sold Red Rum Over the Last Oil on Panel Steve Burgess (Born 1960),Recently Sold,5 x,"€2,950.00",No,2,18/10/2024,"[https://file.4pm.ie/933/83664a95.jpg, https://file.4pm.ie/933/79e181ca.jpg, https://file.4pm.ie/933/45b9515c.jpg, https://file.4pm.ie/933/b067ce29.jpg, https://file.4pm.ie/933/dd4f7e7e.jpg]","Height: 15.7 (40cm), Width: 11.8 (30cm)"
009,Satinwood Mahogany Secretaire Bookcase Chest Drawers Gillows Lancaster Georgian,Fine Furniture - Antiques from Dublin Ireland,4 x,"€16,000.00",No,1,25/10/2022,"[https://file.4pm.ie/925/abf0dcb2.jpg, https://file.4pm.ie/925/a7a2d96b.jpg, https://file.4pm.ie/925/42f00396.jpg, https://file.4pm.ie/925/22fb0546.jpg]","Width: 37 (94cm); Provenance: Provenance: Aristocratic Private collection Northern Ireland. The Gillow family of Cabinet Makers and Upholsters came to prominence with Richard Gillow ; Features: Inlaid decoration, Provenance available"
010,Sold The Four Courts Dublin - Oil on Board - Colin Gibson,Recently Sold,3 x,€790.00,No,2,21/06/2024,"[https://file.4pm.ie/935/e799b40a.jpg, https://file.4pm.ie/935/a004849.jpg, https://file.4pm.ie/935/6afb3246.jpg]","Width: 16 (41cm), Height: 12 (30.5cm)"
011,Antique Pair French Sèvres Style Porcelain Gilt Mounted Urns Vases Centerpieces,Porcelain - Antiques in Dublin Ireland,9 x,"€1,875.00",No,1,07/07/2023,"[https://file.4pm.ie/932/4b8a4017.jpg, https://file.4pm.ie/932/dd26de1c.jpg, https://file.4pm.ie/932/ae4df4ac.jpg, https://file.4pm.ie/932/982989cc.jpg, https://file.4pm.ie/932/5b63dc68.jpg, https://file.4pm.ie/932/6bc7f445.jpg, https://file.4pm.ie/932/6fe1587e.jpg, https://file.4pm.ie/932/be804751.jpg, https://file.4pm.ie/932/71385c5a.jpg]","Height: 14.25 (36cm), Width: 6.75 (17cm); Materials: Porcelain"
012,Sold Pair French Mahogany and Marble Open Bookcases Circa 1910,Recently Sold,4 x,"€2,950.00",No,2,16/01/2024,"[https://file.4pm.ie/929/9a5131e2.jpg, https://file.4pm.ie/929/99f44ec9.jpg, https://file.4pm.ie/929/12ee9920.jpg, https://file.4pm.ie/929/99307e9d.jpg]","Height: 42 (107cm), Depth: 9 (23cm), Width: 30 (77cm); Materials: Mahogany, Marble, Oak"
013,Portrait of a Lady - Edward Hayes RHA (1797-1864) - Framed Watercolour and Pencil,Paintings and Engravings - Antique Shop Ireland,5 x,€550.00,No,1,18/08/2020,"[https://file.4pm.ie/904/496ebc19.jpg, https://file.4pm.ie/904/72f49ab1.jpg, https://file.4pm.ie/904/82a414b7.jpg, https://file.4pm.ie/904/17806ded.jpg, https://file.4pm.ie/904/840b5eac.jpg]","Height: 15 (38cm), Width: 13.5 (34.5cm), Height: 7 (17.75cm), Width: 6 (15cm); Provenance: Ireland"
014,"Daniel Van der Putten - Castle Monaparson 2010, Mallow, Cork - Oil Painting on Panel",Paintings of Ireland,3 x,"€5,950.00",No,1,10/11/2023,"[https://file.4pm.ie/935/120ae4d0.jpg, https://file.4pm.ie/935/238fbca2.jpg, https://file.4pm.ie/935/8b732ea6.jpg]","Height: 13 (33cm), Width: 18 (46cm); Provenance: Ireland; Features: Rare piece"
015,Sold Regency Twin Door Cabinet - Mahogany - Irish - Circa 1820,Recently Sold,6 x,"€3,250.00",No,2,26/01/2019,"[https://file.4pm.ie/745/d452d757.jpg, https://file.4pm.ie/745/1a6e6859.jpg, https://file.4pm.ie/745/4be4ef94.jpg, https://file.4pm.ie/745/d996f0d9.jpg, https://file.4pm.ie/745/78ff01b1.jpg, https://file.4pm.ie/745/807b357a.jpg]","Height: 35.5 (90cm), Width: 53.25 (135cm), Depth: 16 (42cm); Materials: Mahogany"
016,Pair Classical Carved Gilt Wood Busts - Italian Circa 1760,Newest Listings - Art and Antique Gallery Dublin,8 x,"€1,100.00",No,1,13/12/2024,"[https://file.4pm.ie/946/149bf3a9.jpg, https://file.4pm.ie/946/1eaee379.jpg, https://file.4pm.ie/946/fb626c47.jpg, https://file.4pm.ie/946/2aa60dea.jpg, https://file.4pm.ie/946/ec7e52c7.jpg, https://file.4pm.ie/946/d314dd1f.jpg, https://file.4pm.ie/946/fdade60c.jpg, https://file.4pm.ie/946/5e8a898b.jpg]",Height: 10 (26cm); Materials: Marble; Provenance: Provenance Italy ; Features: Provenance available
017,Sold Pair Large Chinese Republic Period Porcelain Temple Foo Dog Figures,Recently Sold,7 x,€675.00,No,2,05/03/2025,"[https://file.4pm.ie/946/6915f83.jpg, https://file.4pm.ie/946/6270ba0a.jpg, https://file.4pm.ie/946/8b700887.jpg, https://file.4pm.ie/946/461deee3.jpg, https://file.4pm.ie/946/363ff6b9.jpg, https://file.4pm.ie/946/2f7a3fae.jpg, https://file.4pm.ie/946/2f88822a.jpg]","Height: 12.75 (32cm), Width: 5 (12.5cm); Materials: Porcelain"
018,Superb Quality Bankers Lamp - Heavy Cast Brass with Great Detail,Luxury Table Lamps and Lighting - Antique Lamps,3 x,€395.00,No,1,08/11/2016,"[https://file.4pm.ie/667/67584ef4.jpg, https://file.4pm.ie/667/54fe320e.jpg, https://file.4pm.ie/667/f19e1a7d.jpg]",Height: 19.75 (50cm)
019,Sold Attributed to Denis Foyatier 1793-1836 Male Nude Bronze of Spartacus 19thCt,Recently Sold,6 x,"€1,685.00",No,2,19/01/2019,"[https://file.4pm.ie/760/f2263dc7.jpg, https://file.4pm.ie/760/21065479.jpg, https://file.4pm.ie/760/2f7fb9c7.jpg, https://file.4pm.ie/760/370beb82.jpg, https://file.4pm.ie/760/67b49d59.jpg, https://file.4pm.ie/760/e10f31f8.jpg]","Height: 21.5 (53.25.25cm), Width: 6.5 (16.5cm); Materials: Bronze, Marble"
020,Victorian Silver Plated Chamber Candlestick,Gifts for all Occasions,5 x,€275.00,No,1,09/02/2011,"[https://file.4pm.ie/58/80125c66.jpg, https://file.4pm.ie/58/6123a12f.jpg, https://file.4pm.ie/58/ed5f56d8.jpg, https://file.4pm.ie/58/ec3d0696.jpg, https://file.4pm.ie/58/da01e392.jpg]","Height: 4.25 (11cm), Width: 6.25 (18cm), Depth: 6 (15cm); Materials: Silver"
021,Novida Chandelier - Large Brass and Frosted Glass Petals,Lighting,3 x,"€1,850.00",No,1,02/10/2024,"[https://file.4pm.ie/945/81d29a52.jpg, https://file.4pm.ie/945/a2ab09df.jpg, https://file.4pm.ie/945/566640ee.jpg]",Height: 23.6 (60cm); Materials: Glass
022,Sold Antique Pair French Cloisonne Champlevé Alabaster Ormolu Gilt Bronze Vase Urns,Recently Sold,6 x,€575.00,No,2,14/05/2024,"[https://file.4pm.ie/940/4a1d4df2.jpg, https://file.4pm.ie/940/3d81e00.jpg, https://file.4pm.ie/940/f5b3c53c.jpg, https://file.4pm.ie/940/17610a55.jpg, https://file.4pm.ie/940/d75d911c.jpg, https://file.4pm.ie/940/79e15c26.jpg]","Width: 2.25 (5.75cm); Materials: Bronze, Gold, Ivory"
023,Set of 10 Solid Silver - Tiffany NY English King Design - Spoons - Heavy,Newest Listings - Art and Antique Gallery Dublin,11 x,€950.00,No,1,21/05/2024,"[https://file.4pm.ie/904/4389dabe.jpg, https://file.4pm.ie/904/125a089a.jpg, https://file.4pm.ie/904/c7fb2211.jpg, https://file.4pm.ie/904/dcaa7d7e.jpg, https://file.4pm.ie/904/42741454.jpg, https://file.4pm.ie/904/ecfa01a4.jpg, https://file.4pm.ie/904/5e672648.jpg, https://file.4pm.ie/904/60822b69.jpg, https://file.4pm.ie/904/fa7422c4.jpg, https://file.4pm.ie/904/218ae0ab.jpg, https://file.4pm.ie/904/81ac73d5.jpg]",Materials: Silver
024,. Antique Georgian Mahogany and Satinwood Bow Front Chest Circa 1800,Fine Furniture - Antiques from Dublin Ireland,6 x,"€2,850.00",No,1,14/07/2009,"[https://file.4pm.ie/10/10309-tja.jpg, https://file.4pm.ie/10/10310-bad.jpg, https://file.4pm.ie/10/10311-Aks.jpg, https://file.4pm.ie/10/10312-FrD.jpg, https://file.4pm.ie/10/10313-VwQ.jpg, https://file.4pm.ie/10/10314-WJD.jpg]","Width: 36 (91.5cm), Height: 33.25 (84.5cm); Materials: Mahogany; Features: Inlaid decoration; State: Restored/Cleaned"
025,Sold Superb Italian Grand Tour Specimen Marble Top Centre Table - Museum Quality,Recently Sold,3 x,"€18,450.00",No,2,24/11/2018,"[https://file.4pm.ie/833/a476f625.jpg, https://file.4pm.ie/833/e318b90c.jpg, https://file.4pm.ie/833/11338f80.jpg]","Height: 30 (76cm); Materials: Mahogany, Marble; Features: Inlaid decoration"
