ID,Name,Category,Pictures,Price,Featured,Status,Updated,ImageLinks,DescriptionSummary
831,831 Superb Quality Bankers Lamp - Heavy Cast Brass with Great Detail,Luxury Table Lamps and Lighting - Antique Lamps,1 x,€425.00,No,1,08/11/2016,['https://file.4pm.ie/668/d17238eb.jpg'],Height: 19.75 (50cm)
832,832 Mahogany Collectors Cabinet - English - Circa 1800,Fine Furniture - Antiques from Dublin Ireland,5 x,"€1,100.00",No,1,15/02/2023,"['https://file.4pm.ie/927/d5670cd1.jpg', 'https://file.4pm.ie/927/f7b2a1d2.jpg', 'https://file.4pm.ie/927/9480c40.jpg', 'https://file.4pm.ie/927/558af6d0.jpg', 'https://file.4pm.ie/927/be16039f.jpg']","Depth: 31 (79cm), Width: 21.75 (55.5cm), Depth: 15 (38cm); Materials: Glass"
833,833 Sold Millhouse Romance - Oil on Board - 2017 - Mark O'Neill,Recently Sold,5 x,"€4,250.00",No,2,07/09/2021,"['https://file.4pm.ie/914/f60d727c.jpg', 'https://file.4pm.ie/914/ff1d5e04.jpg', 'https://file.4pm.ie/914/4ff00903.jpg', 'https://file.4pm.ie/914/595bbfcf.jpg', 'https://file.4pm.ie/914/c0415abf.jpg']","Height: 15.5 (39.5cm), Width: 9.5 (24cm), Height: 25 (64cm), Width: 19 (48.5cm); Provenance: Ireland"
834,834 Rare Irish Antique Killarneyware Jewellery Casket Mid 19th Century,Memorable Irish Antiques,5 x,€640.00,No,2,25/03/2010,"['https://file.4pm.ie/23/23520-uAt.jpg', 'https://file.4pm.ie/23/23521-TwO.jpg', 'https://file.4pm.ie/23/23522-AKl.jpg', 'https://file.4pm.ie/23/23523-tnG.jpg', 'https://file.4pm.ie/23/23525-kcU.jpg']","Width: 11.5 (29.5cm), Depth: 8.5 (21.5cm), Height: 4.25 (10.5cm); Materials: Arbutus; Features: Inlaid decoration; State: Restored/Cleaned"
835,835 Sold Royal Worcester Parian Ware Porcelain Mrs Hadley's Hand Vase with Urn 1864,Recently Sold,6 x,€550.00,No,2,31/12/2020,"['https://file.4pm.ie/906/e9301c08.jpg', 'https://file.4pm.ie/906/d7301d92.jpg', 'https://file.4pm.ie/906/716bdb84.jpg', 'https://file.4pm.ie/906/fcd1026.jpg', 'https://file.4pm.ie/906/76c03526.jpg', 'https://file.4pm.ie/906/74ccf13e.jpg']",Height: 6 (15cm); Materials: Porcelain; Features: Rare piece
836,836 Rare Irish Dog Collar - Captain Lopdell - Dog Nellie Circa 1825,Irish Collection - Irish Antiques from Dublin - Ireland,6 x,€750.00,No,1,07/03/2015,"['https://file.4pm.ie/186/a1fd0be0.jpg', 'https://file.4pm.ie/186/825d3208.jpg', 'https://file.4pm.ie/186/9d42c079.jpg', 'https://file.4pm.ie/186/e5542763.jpg', 'https://file.4pm.ie/186/506944b5.jpg', 'https://file.4pm.ie/186/e80f4a91.jpg']",Provenance: Ireland; Features: Rare piece
837,837 Sold City Hall Dublin - Oil on Board - Colin Gibson,Recently Sold,3 x,€790.00,No,2,21/06/2024,"['https://file.4pm.ie/935/7d7cc141.jpg', 'https://file.4pm.ie/935/993c1cb4.jpg', 'https://file.4pm.ie/935/82c27196.jpg']","Width: 16 (41cm), Height: 12 (30.5cm)"
838,838 Sold Museum Quality Irish Killarney Antique Table Circa 1870,Memorable Irish Antiques,5 x,"€9,000.00",No,2,04/10/2013,"['https://file.4pm.ie/138/a5a0a109.jpg', 'https://file.4pm.ie/138/9d4de2cc.jpg', 'https://file.4pm.ie/138/c72f30d.jpg', 'https://file.4pm.ie/138/dc543294.jpg', 'https://file.4pm.ie/138/3a44b38b.jpg']","Materials: Arbutus, Yew wood; Provenance: made in Co Kerry Ireland in the late ; Features: Original condition; State: Restored/Cleaned"
839,839 Sold Victorian Mahogany Desk - Circa 1890 - Rare Design,Recently Sold,3 x,"€1,600.00",No,2,05/05/2018,"['https://file.4pm.ie/738/e45b3f7c.jpg', 'https://file.4pm.ie/738/3730065b.jpg', 'https://file.4pm.ie/738/49b12652.jpg']","Height: 28.25 (72cm), Depth: 23.5 (60cm); Materials: Mahogany"
840,840 Sold Rare Pair - Antique Irish Bog Oak Hand Carved Candlesticks - Owl Theme Circa 1880,Recently Sold,5 x,€990.00,No,2,20/01/2018,"['https://file.4pm.ie/743/53c82f05.jpg', 'https://file.4pm.ie/743/2beb5413.jpg', 'https://file.4pm.ie/743/f3519186.jpg', 'https://file.4pm.ie/743/f24d28f4.jpg', 'https://file.4pm.ie/743/7408ed9f.jpg']",Materials: Oak; Features: Rare piece
